type,coords
university,"[(127.0271195, 37.5844104), (127.0271412, 37.5844778), (127.0271822, 37.5845309), (127.0272402, 37.584573), (127.0273108, 37.5846006), (127.0273882, 37.5846115), (127.0274664, 37.5846049), (127.0275392, 37.5845814), (127.0276008, 37.5845427), (127.0276465, 37.5844919), (127.0276724, 37.5844331), (127.0276767, 37.5843709), (127.0276556, 37.5843034), (127.0276091, 37.5842445), (127.0275419, 37.5841999), (127.0274606, 37.5841739), (127.0273731, 37.5841692), (127.0272881, 37.5841862), (127.0272139, 37.5842232), (127.0271577, 37.5842766), (127.0271252, 37.5843411), (127.0271195, 37.5844104)]"
university,"[(127.0247042, 37.5852243), (127.0248827, 37.5853082), (127.0250665, 37.5850651), (127.0251942, 37.5851277), (127.0250492, 37.5853372), (127.0250696, 37.5854324), (127.0251917, 37.5854875), (127.025333, 37.585443), (127.025489, 37.5852515), (127.0257999, 37.5853908), (127.0259001, 37.5852358), (127.024994, 37.584846), (127.0247042, 37.5852243)]"
university,"[(127.0239256, 37.5848828), (127.0241266, 37.5849773), (127.0242154, 37.5848588), (127.0246094, 37.5850442), (127.0247312, 37.5848817), (127.0241646, 37.5846152), (127.0240935, 37.5847102), (127.024065, 37.5846967), (127.0239256, 37.5848828)]"
university,"[(127.024073, 37.5843739), (127.0243396, 37.5844914), (127.0247626, 37.5838888), (127.024496, 37.5837713), (127.024073, 37.5843739)]"
university,"[(127.0247859, 37.583423), (127.025182, 37.5836035), (127.0249187, 37.5839663), (127.0251408, 37.5840675), (127.0254061, 37.583702), (127.0256637, 37.5838194), (127.0257699, 37.583673), (127.0248941, 37.5832739), (127.0247859, 37.583423)]"
university,"[(127.0256672, 37.5833447), (127.0258862, 37.5834411), (127.0263042, 37.5828449), (127.0260852, 37.5827485), (127.0256672, 37.5833447)]"
university,"[(127.0272317, 37.5823958), (127.0276911, 37.5825957), (127.0277461, 37.5825262), (127.0276296, 37.5824571), (127.0276843, 37.5823845), (127.0276033, 37.5823564), (127.0275777, 37.5824108), (127.0274483, 37.5823417), (127.0274195, 37.5823779), (127.0272795, 37.5823285), (127.0272317, 37.5823958)]"
university,"[(127.027845, 37.5840882), (127.0279921, 37.5841635), (127.0282873, 37.583738), (127.0281379, 37.5836734), (127.0281269, 37.583689), (127.0278549, 37.5840742), (127.027845, 37.5840882)]"
university,"[(127.0276921, 37.584209), (127.0278835, 37.5842992), (127.0279461, 37.584197), (127.0277802, 37.5841114), (127.0276921, 37.584209)]"
university,"[(127.0276237, 37.585505), (127.0277031, 37.5855428), (127.0276552, 37.5856061), (127.0280939, 37.5858143), (127.0282957, 37.585773), (127.0285774, 37.5854005), (127.028243, 37.5852417), (127.028003, 37.5855592), (127.0276938, 37.5854124), (127.0276237, 37.585505)]"
university,"[(127.0248644, 37.5860739), (127.025024, 37.5861393), (127.0254278, 37.5861119), (127.025625, 37.5858348), (127.0251303, 37.5856136), (127.02507, 37.5856983), (127.0253554, 37.5858259), (127.0253046, 37.5858973), (127.0249481, 37.5859458), (127.0248644, 37.5860739)]"
university,"[(127.0263254, 37.5884427), (127.0263596, 37.5886102), (127.0264663, 37.5887605), (127.0266291, 37.5888706), (127.0268873, 37.5889296), (127.0269661, 37.5889304), (127.0276367, 37.5885024), (127.0275666, 37.5884334), (127.0281308, 37.5880733), (127.0275279, 37.5874801), (127.0273454, 37.5875966), (127.0273837, 37.5876343), (127.0273437, 37.5876598), (127.0276612, 37.5879722), (127.027166, 37.5882882), (127.0271192, 37.5882422), (127.0271535, 37.5882203), (127.0268776, 37.587949), (127.0266273, 37.5881088), (127.0266853, 37.5881658), (127.0263842, 37.588358), (127.0263254, 37.5884427)]"
university,"[(127.0260433, 37.5903657), (127.0265089, 37.5908296), (127.027354, 37.5902971), (127.027149, 37.5900928), (127.0268461, 37.5902837), (127.0269085, 37.5903458), (127.0266713, 37.5904952), (127.0267011, 37.5905249), (127.0265263, 37.590635), (127.0264806, 37.5905894), (127.0265506, 37.5905452), (127.0262437, 37.5902394), (127.0260433, 37.5903657)]"
hotel,"[(127.0569617, 37.5130452), (127.0570035, 37.5130611), (127.0569967, 37.5130763), (127.0569937, 37.5130907), (127.0569954, 37.5131026), (127.0570021, 37.5131125), (127.0570165, 37.5131194), (127.0570363, 37.5131205), (127.0570598, 37.5131125), (127.0570817, 37.5130977), (127.0571169, 37.5131336), (127.0572616, 37.5130353), (127.057393, 37.5129098), (127.0575013, 37.5127404), (127.0575491, 37.5125875), (127.0574369, 37.5125711), (127.0572535, 37.512511), (127.0569617, 37.5130452)]"
hospital,"[(127.0557475, 37.5214781), (127.0559406, 37.5215505), (127.056123, 37.5212186), (127.0559299, 37.5211548), (127.0557475, 37.5214781)]"
