"MEASURE","DATE_IMPLEMENTED","SOURCE","SOURCE_TYPE","LINK","ENTRY_DATE",""
"Isolation/quarantine policies,
Travel restriction","10/03/2020","US Embassy","Government","https://kr.usembassy.gov/022420-covid-19-information/","16/03/2020",""
"Limit public gatherings","16/03/2020","KCDC","Government","https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030","16/03/2020",""
"Schools closure","27/02/2020","Washington Post","Media","https://www.washingtonpost.com/gdpr-consent/?next_url=https%3a%2f%2fwww.washingtonpost.com%2fworld%2fasia_pacific%2fin-south-korea-coronavirus-gives-kids-a-break-from-school-pressures-but-also-traps-them%2f2020%2f02%2f27%2f713424f6-5896-11ea-8efd-0f904bdd8057_story.html","19/03/2020",""
"EU travellers screening","12/03/2020","KCDC","Government","https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366537&tag=&nPage=3#wrap","23/03/2020",""
"Partial lockdown","22/03/2020","KCDC","Government","https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366621&tag=&nPage=1#wrap","23/03/2020",""
"US travellers quarantine","27/03/2020","KCDC","Government","https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366670&tag=&nPage=6","23/04/2020",""
"EU travellers quarantine","01/04/2020","KCDC","Government","https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366687&tag=&nPage=5","23/04/2020",""
"Isolation/quarantine penalties","05/04/2020","KCDC","Government","https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366745&tag=&nPage=4","23/04/2020",""
"Extension of Social Dist.","06/04/2020","KCDC","Government","https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366745&tag=&nPage=4","23/04/2020",""
"Relaxed Social Distancing","20/04/2020","KCDC","Government","https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366956&tag=&nPage=1","23/04/2020",""
"","","","","","",""
"","","","","","",""
